Time,<1,1-4,5-9,10-14,15-19,20-29,30+
2011-06,0.0390899382386678,0.010098608010467025,1.3479831406767919e-05,2.5505344061566503e-07,8.902524082613748e-09,1.9524509382431898e-10,1.5401176563451316e-15
2011-07,0.026184723207567373,0.006689884507937727,8.93822301783814e-06,1.695388007930896e-07,5.924658819143751e-09,1.2933621089724298e-10,1.002971712843817e-15
2011-08,0.02585868351823173,0.006550241834535342,8.758420132074299e-06,1.6645095612086947e-07,5.822155781266785e-09,1.2663268286337084e-10,9.68793933422106e-16
2011-09,0.03765040446359613,0.00945458382839437,1.2656726181578624e-05,2.410704524063565e-07,8.441156236568572e-09,1.8277622184414642e-10,1.3756238579883465e-15
2011-10,0.08059044637573898,0.019976664756904405,2.681224812606936e-05,5.126616225981773e-07,1.7984164390790638e-08,3.86178258308125e-10,2.8195185715253895e-15
2011-11,0.2505208135890946,0.06016752575999096,8.139923241111272e-05,1.5726894330657157e-06,5.544597471471067e-08,1.1630675470921055e-09,7.805408608948378e-15
2011-12,1.5649465857561662,2.8029152863886075,0.002774843490186969,3.578573361071055e-05,1.0396520957349846e-06,9.405276497400395e-08,2.595438836113374e-10
2012-01,5.5878863370328435,6.474084012231218,0.007184851417403821,0.00011351464088055446,3.625836544851777e-06,2.1867722116867205e-07,1.695889568726017e-10
2012-02,2.3515144999391335,1.2544054360579038,0.0017180463824891792,3.549244315829916e-05,1.2831170898360576e-06,4.230988915643029e-08,2.7276179107921976e-12
2012-03,0.5476682378054321,0.21824170149777888,0.00032175957480738314,7.330060141055153e-06,2.7736782935150667e-07,7.356837973075727e-09,1.9826957594172925e-13
2012-04,0.1571457736948112,0.05804622508349677,8.692703939037951e-05,2.028252236254488e-06,7.762353689978186e-08,1.9563215986945413e-09,4.357620289456056e-14
2012-05,0.06385109737463424,0.02295472820594835,3.45130282205933e-05,8.116573477124188e-07,3.1180488306036884e-08,7.735621752387655e-10,1.625917858737256e-14
2012-06,0.03781429593736618,0.01340630126009934,2.0186030657990198e-05,4.7653419590715796e-07,1.834011027495115e-08,4.51757338779061e-10,9.247609256590912e-15
2012-07,0.03289492802349692,0.01154877331939197,1.7405300893570327e-05,4.1199172968526786e-07,1.5876670769424716e-08,3.8914554079551824e-10,7.821586938240935e-15
2012-08,0.04209503398002745,0.014642117479968242,2.2094192707279234e-05,5.2439020516764e-07,2.0234381608148083e-08,4.933596059327498e-10,9.726818146500033e-15
